sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x53,31080,0.985,2.539,9.402,
Sensor_0x53,31117,-0.035,2.069,2.102,
Sensor_0x53,31151,-1.445,1.049,-11.148,
Sensor_0x53,31187,4.285,2.699,14.502,
Sensor_0x53,31221,-0.815,1.209,-13.898,
Sensor_0x53,31257,1.925,2.229,8.072,
Sensor_0x53,31293,0.905,2.229,1.082,
Sensor_0x53,31327,-0.505,1.049,-9.428,
Sensor_0x53,31363,3.265,2.699,10.972,
Sensor_0x53,31399,0.275,1.359,-9.818,
Sensor_0x53,31434,2.315,2.149,5.872,
Sensor_0x53,31470,1.455,2.769,0.612,
Sensor_0x53,31504,0.275,1.749,-5.658,
Sensor_0x53,31540,3.105,2.539,8.142,
Sensor_0x53,31575,-0.975,2.379,4.462,
Sensor_0x53,31610,-9.605,5.679,-10.448,
Sensor_0x53,31644,10.165,3.639,5.012,
Sensor_0x53,31680,4.675,5.209,4.932,
Sensor_0x53,31714,3.495,27.409,-14.368,
Sensor_0x53,31749,65.635,-1.231,13.642,
Sensor_0x53,31782,-26.315,24.039,22.422,
Sensor_0x53,31815,-29.455,1.129,-61.908,
Sensor_0x53,31849,-8.355,5.519,50.122,
Sensor_0x53,31885,-28.125,4.579,-5.038,
Sensor_0x53,31918,-23.965,-4.211,-27.158,
Sensor_0x53,31952,5.145,5.829,49.882,
Sensor_0x53,31986,-14.545,0.659,-37.438,
Sensor_0x53,32020,-13.055,3.479,8.142,
Sensor_0x53,32055,-2.305,5.049,28.932,
Sensor_0x53,32090,-7.875,0.809,-42.138,
Sensor_0x53,32124,1.845,5.129,30.972,
Sensor_0x53,32160,-8.195,2.619,-3.308,
Sensor_0x53,32194,-7.955,1.679,-16.488,
Sensor_0x53,32228,5.225,4.889,30.822,
Sensor_0x53,32264,-5.525,0.729,-28.338,
Sensor_0x53,32298,-1.285,3.869,13.872,
Sensor_0x53,32334,-0.895,3.399,10.972,
Sensor_0x53,32368,-4.035,2.459,-23.628,
Sensor_0x53,32403,4.755,3.949,23.762,
Sensor_0x53,32438,-3.645,0.189,-14.058,
Sensor_0x53,32473,-1.765,0.729,-0.088,
Sensor_0x53,32509,1.925,0.259,14.422,
Sensor_0x53,32543,-3.175,-2.251,-20.958,
Sensor_0x53,32577,3.495,0.339,16.622,
Sensor_0x53,32613,-1.835,-5.541,-6.058,
Sensor_0x53,32646,-1.605,-1.701,-6.128,
Sensor_0x53,32682,3.265,-2.641,15.282,
Sensor_0x53,32716,-1.765,-5.621,-16.248,
Sensor_0x53,32749,1.065,-3.741,7.992,
Sensor_0x53,32784,0.675,-3.501,3.362,
Sensor_0x53,32819,-1.135,-6.251,-9.818,
Sensor_0x53,32853,3.185,-3.271,14.342,
Sensor_0x53,32887,-0.505,-5.621,-8.248,
Sensor_0x53,32921,0.985,-5.461,3.202,
Sensor_0x53,32957,1.535,-3.581,6.652,
