sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,619822,9.518,-9.311,31.638,
Sensor_0x53,619832,-0.295,-0.194,0.04,
Sensor_0x1D,619855,-7.672,8.099,-12.212,
Sensor_0x53,619866,0.255,0.116,0.27,
Sensor_0x1D,619888,-5.002,1.899,-30.412,
Sensor_0x53,619899,-0.295,-0.514,-0.2,
Sensor_0x1D,619922,9.588,-8.291,35.168,
Sensor_0x53,619934,-0.055,-0.354,0.12,
Sensor_0x1D,619955,-3.432,6.999,2.688,
Sensor_0x53,619967,0.105,0.196,-0.28,
Sensor_0x1D,619989,-6.652,2.449,-33.472,
Sensor_0x53,620002,-0.055,0.036,0.19,
Sensor_0x1D,620022,9.038,-9.941,25.048,
Sensor_0x53,620034,0.105,0.116,-0.28,
Sensor_0x1D,620056,1.278,3.629,16.188,
