sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x53,78191667,-0.008,0.139,-0.025,
Sensor_0x53,78192705,-0.008,-0.175,-0.025,
Sensor_0x1D,78192762,0.044,0.1,-0.067,
Sensor_0x53,78193739,-0.008,0.06,-0.182,
Sensor_0x1D,78193909,-0.113,0.1,-0.145,
Sensor_0x53,78194781,-0.087,0.06,-0.025,
Sensor_0x1D,78195042,0.044,-0.135,-0.067,
Sensor_0x53,78195811,-0.087,0.06,0.288,
Sensor_0x1D,78196199,0.044,0.022,0.326,
Sensor_0x53,78196851,-0.322,0.139,-0.025,
Sensor_0x1D,78197387,0.044,0.414,0.012,
Sensor_0x53,78197883,0.148,0.217,0.367,
Sensor_0x1D,78198580,-0.191,-0.135,-0.067,
Sensor_0x53,78198922,-0.087,-0.175,-0.104,
Sensor_0x1D,78199767,0.044,0.1,0.012,
Sensor_0x53,78199954,0.07,0.217,-0.261,
Sensor_0x1D,78200911,-0.035,0.179,-0.067,
Sensor_0x53,78200999,-0.087,-0.018,0.053,
Sensor_0x53,78202030,0.148,0.139,-0.025,
Sensor_0x1D,78202067,0.122,0.022,-0.067,
Sensor_0x53,78203103,-0.008,0.06,0.053,
Sensor_0x1D,78203208,-0.035,0.336,-0.067,
Sensor_0x53,78204134,0.305,-0.097,0.131,
Sensor_0x1D,78204369,-0.113,0.1,-0.302,
Sensor_0x53,78205209,-0.087,0.06,0.053,
Sensor_0x1D,78205517,0.044,0.257,-0.067,
Sensor_0x53,78206247,0.227,-0.332,-0.104,
Sensor_0x1D,78206703,-0.191,0.1,0.012,
Sensor_0x53,78207286,-0.165,0.06,-0.104,
Sensor_0x1D,78207856,-0.113,0.022,0.09,
Sensor_0x53,78208317,0.227,-0.332,-0.182,
Sensor_0x1D,78209049,0.044,0.022,-0.067,
Sensor_0x53,78209389,-0.165,-0.097,-0.104,
Sensor_0x1D,78210247,0.044,0.179,0.169,
Sensor_0x53,78210421,0.148,-0.175,-0.182,
Sensor_0x1D,78211409,0.044,0.022,-0.067,
Sensor_0x53,78211500,-0.087,-0.018,-0.025,
Sensor_0x53,78212534,-0.322,-0.097,0.053,
Sensor_0x1D,78212579,-0.191,0.414,0.404,
Sensor_0x53,78213575,-0.244,0.139,0.445,
Sensor_0x1D,78213717,-0.113,0.1,-0.067,
Sensor_0x53,78214608,-0.322,0.374,0.524,
Sensor_0x1D,78214881,0.122,-0.135,0.482,
Sensor_0x53,78215645,0.227,0.06,0.053,
Sensor_0x1D,78216061,-0.113,0.1,0.012,
Sensor_0x53,78216675,-0.087,0.06,-0.025,
Sensor_0x1D,78217259,-0.27,0.022,-0.067,
Sensor_0x53,78217717,-0.008,0.139,0.053,
Sensor_0x1D,78218455,-0.035,0.257,0.012,
Sensor_0x53,78218750,-0.165,-0.018,-0.104,
Sensor_0x1D,78219638,0.044,-0.135,-0.067,
Sensor_0x53,78219791,0.07,-0.018,-0.025,
Sensor_0x1D,78220780,-0.191,0.022,-0.694,
Sensor_0x53,78220823,-0.165,0.06,0.131,
Sensor_0x53,78221895,0.227,-0.332,-0.025,
Sensor_0x1D,78221918,-0.035,0.022,0.012,
Sensor_0x53,78222927,-0.165,0.06,-0.104,
Sensor_0x1D,78223056,0.122,0.022,-0.067,
Sensor_0x53,78223965,-0.322,-0.175,0.053,
Sensor_0x1D,78224229,0.044,0.1,-0.067,
Sensor_0x53,78225004,-0.087,0.139,0.445,
Sensor_0x1D,78225400,0.358,-0.213,-0.067,
Sensor_0x53,78226043,0.227,-0.568,-0.182,
Sensor_0x1D,78226623,-0.113,-0.056,0.012,
Sensor_0x53,78227075,-0.008,0.374,0.21,
Sensor_0x1D,78227765,0.122,0.1,0.247,
Sensor_0x53,78228115,-0.558,-0.254,0.21,
Sensor_0x1D,78228908,-0.113,0.1,-0.067,
Sensor_0x53,78229147,-0.008,0.139,0.053,
Sensor_0x1D,78230063,0.044,0.1,0.09,
Sensor_0x53,78230192,-0.087,-0.175,-0.025,
Sensor_0x1D,78231215,-0.113,0.022,0.247,
Sensor_0x53,78231232,0.07,0.139,-0.339,
Sensor_0x53,78232272,-0.087,0.06,-0.104,
Sensor_0x1D,78232376,-0.035,0.1,0.169,
Sensor_0x53,78233304,0.07,0.139,-0.104,
Sensor_0x1D,78233521,0.044,0.414,-0.067,
Sensor_0x53,78234376,-0.087,0.06,0.131,
Sensor_0x1D,78234708,-0.113,-0.056,-0.067,
Sensor_0x53,78235409,0.07,0.139,-0.182,
Sensor_0x1D,78235860,0.122,0.022,0.09,
Sensor_0x53,78236488,-0.008,-0.175,-0.104,
Sensor_0x1D,78237060,0.044,-0.135,0.169,
Sensor_0x53,78237525,0.148,-0.332,-0.182,
Sensor_0x1D,78238241,0.044,0.022,0.169,
Sensor_0x53,78238566,0.07,-0.175,-0.104,
Sensor_0x1D,78239403,-0.113,0.414,-0.067,
Sensor_0x53,78239596,0.305,-0.489,-0.182,
Sensor_0x1D,78240564,-0.113,0.1,0.404,
Sensor_0x53,78240669,-0.165,0.06,-0.104,
Sensor_0x53,78241702,0.07,-0.254,-0.339,
Sensor_0x1D,78241707,0.122,0.1,0.169,
Sensor_0x53,78242773,0.384,-0.175,0.21,
Sensor_0x1D,78242874,0.122,-0.213,0.012,
Sensor_0x53,78243807,0.148,-0.254,-0.182,
Sensor_0x1D,78244047,0.044,0.1,0.09,
Sensor_0x53,78244878,-0.008,0.06,0.053,
Sensor_0x1D,78245223,0.122,-0.056,0.012,
Sensor_0x53,78245909,-0.008,-0.097,0.053,
Sensor_0x1D,78246414,-0.191,0.336,0.012,
Sensor_0x53,78246951,-0.087,0.06,-0.025,
Sensor_0x1D,78247605,0.044,0.022,-0.067,
Sensor_0x53,78247986,-0.165,-0.018,0.053,
Sensor_0x1D,78248756,-0.191,0.1,0.404,
Sensor_0x53,78249056,-0.087,-0.097,0.602,
Sensor_0x1D,78249901,-0.191,0.1,0.012,
Sensor_0x53,78250089,-0.322,-0.332,-0.182,
Sensor_0x1D,78251053,-0.113,0.1,0.09,
Sensor_0x53,78251130,0.305,0.139,0.288,
Sensor_0x53,78252161,-0.401,-0.175,0.131,
Sensor_0x1D,78252198,0.122,0.022,0.012,
Sensor_0x53,78253243,0.07,0.452,-0.025,
Sensor_0x1D,78253389,-0.113,0.022,0.169,
Sensor_0x53,78254279,-0.322,-0.097,-0.025,
Sensor_0x1D,78254592,-0.191,0.179,-0.067,
Sensor_0x53,78255320,-0.008,0.139,0.21,
Sensor_0x1D,78255783,0.201,0.1,0.169,
Sensor_0x53,78256353,-0.322,-0.097,-0.025,
Sensor_0x1D,78256926,0.122,0.022,0.326,
Sensor_0x53,78257392,0.227,0.06,-0.261,
Sensor_0x1D,78258082,0.044,0.1,-0.067,
Sensor_0x53,78258422,-0.165,-0.254,-0.025,
Sensor_0x1D,78259234,-0.035,0.022,0.012,
Sensor_0x53,78259506,0.227,0.139,-0.339,
Sensor_0x1D,78260390,-0.113,0.257,-0.067,
Sensor_0x53,78260539,-0.165,0.139,-0.025,
Sensor_0x1D,78261536,-0.191,0.1,-0.067,
Sensor_0x53,78261610,0.07,0.139,-0.104,
Sensor_0x53,78262642,-0.087,-0.097,-0.025,
Sensor_0x1D,78262723,0.122,-0.213,0.247,
Sensor_0x53,78263677,-0.558,-0.175,-0.025,
Sensor_0x1D,78263873,-0.27,0.1,0.482,
Sensor_0x53,78264712,-0.008,-0.018,0.524,
Sensor_0x1D,78265060,-0.113,0.1,-0.067,
Sensor_0x53,78265786,-0.165,-0.097,-0.025,
Sensor_0x1D,78266249,-0.113,0.1,0.012,
Sensor_0x53,78266822,-0.008,0.06,0.21,
Sensor_0x1D,78267411,0.044,0.022,0.09,
Sensor_0x53,78267862,0.07,-0.018,-0.653,
Sensor_0x1D,78268584,-0.113,0.1,-0.145,
Sensor_0x53,78268897,-0.087,0.374,0.21,
Sensor_0x1D,78269720,0.122,0.1,-0.224,
Sensor_0x53,78269936,-0.479,-0.175,-0.025,
Sensor_0x1D,78270872,-0.035,-0.056,-0.067,
Sensor_0x53,78270967,-0.087,0.374,0.053,
Sensor_0x53,78272041,-0.479,-0.175,-0.025,
Sensor_0x1D,78272064,-0.113,0.179,-0.067,
Sensor_0x53,78273074,-0.087,0.374,0.288,
